Pregunta,Categoría
¿Cuál es la edad recomendada por la comunidad?,Estadísticas
¿Cuántas personas quieren cambiarlo?,Estadísticas
¿Cuántas veces se ha jugado este mes?,Estadísticas
¿Qué roles cumplen los jugadores en Tiny Towns?,Información
¿Qué otros juegos ha hecho Matt Paquette & Co.?,Relaciones
¿Quién es el editor de Tiny Towns?,Relaciones
¿Cuál es la edad recomendada oficialmente para jugar Tiny Towns?,Estadísticas
¿Cuál es el número oficial de jugadores?,Estadísticas
¿Cuántos comentarios tiene Tiny Towns?,Estadísticas
¿Qué otros juegos ha hecho Gong Studios?,Relaciones
¿Qué juegos están relacionados con Peter McPherson?,Relaciones
¿Qué tipo de juegos publica Alderac Entertainment Group?,Relaciones
¿Qué juegos ha co-publicado Alderac Entertainment Group?,Relaciones
¿Cuántas expansiones tiene Tiny Towns?,Estadísticas
¿Cuál es el tiempo estimado de juego?,Estadísticas
¿Quiénes son algunos diseñadores populares con los que trabaja Alderac Entertainment Group?,Relaciones
¿Cuántas valoraciones tiene Tiny Towns?,Estadísticas
¿Cuántas personas lo han tenido anteriormente?,Estadísticas
¿Qué consejos se dan para principiantes en los foros?,Información
¿Cuál es el precio en Noble Knight Games?,Estadísticas
¿Qué estrategias recomiendan para ganar en Tiny Towns?,Información
¿Qué diferencias hay entre las variantes oficiales del juego?,Información
¿Cuáles son las reglas básicas del juego Tiny Towns?,Información
¿Cuál es el nombre completo de la empresa Alderac Entertainment Group?,Relaciones
¿Cuántos comentarios tiene Tiny Towns?,Estadísticas
¿Cómo se explican las cartas monumento en el manual?,Información
¿Qué edificios se pueden construir en el juego?,Información
¿Dónde está ubicada la empresa Gong Studios?,Relaciones
¿Qué se menciona en el manual oficial sobre la configuración inicial?,Información
¿Cuál es el rango general (Overall Rank) del juego?,Estadísticas
¿Cuál es la edad recomendada por la comunidad?,Estadísticas
¿Qué piezas incluye el juego Tiny Towns?,Información
¿Qué estrategias recomiendan para ganar en Tiny Towns?,Información
¿Quién diseñó Wormholes?,Relaciones
¿Quién diseñó Fit to Print?,Relaciones
¿Qué consejos se dan para principiantes en los foros?,Información
¿Quién fundó Alderac Entertainment Group?,Relaciones
¿Qué información hay sobre Gong Studios?,Relaciones
¿Quién fundó Alderac Entertainment Group?,Relaciones
¿Qué juegos están relacionados con Peter McPherson?,Relaciones
¿Qué editor polaco publica Tiny Towns?,Relaciones
¿Cuál es el nombre completo de la empresa Alderac Entertainment Group?,Relaciones
¿Qué temas se destacan en la reseña en español del juego?,Información
¿Cuántas expansiones tiene Tiny Towns?,Estadísticas
¿Qué otros juegos ha hecho Gong Studios?,Relaciones
¿Cuáles son algunas variantes populares del juego?,Información
¿Qué dice el manual sobre las cartas de recurso?,Información
¿Cuál es el nombre principal del juego Tiny Towns?,Relaciones
¿Qué temas se destacan en la reseña en español del juego?,Información
¿Qué temas se destacan en la reseña en español del juego?,Información
¿Qué temas se destacan en la reseña en español del juego?,Información
¿Cómo se colocan los recursos en el tablero?,Información
¿Qué información hay sobre Alderac Entertainment Group?,Relaciones
¿Qué otros juegos diseñó Peter McPherson?,Relaciones
¿Cuáles son las reglas básicas del juego Tiny Towns?,Información
¿Cómo afecta el orden de turno en la partida?,Información
¿Qué diferencias hay entre las variantes oficiales del juego?,Información
¿Cuál es el puntaje promedio (Avg. Rating) de Tiny Towns?,Estadísticas
¿Cómo se explican las cartas monumento en el manual?,Información
¿Cuántas personas quieren cambiarlo?,Estadísticas
¿Cuántas valoraciones tiene Tiny Towns?,Estadísticas
¿Qué estrategias recomiendan para ganar en Tiny Towns?,Información
¿Cuáles son las críticas más comunes sobre Tiny Towns?,Información
¿Cuál es el número oficial de jugadores?,Estadísticas
¿Qué tipo de juegos publica Alderac Entertainment Group?,Relaciones
¿Cuál es el número oficial de jugadores?,Estadísticas
¿Qué otros juegos ha hecho Gong Studios?,Relaciones
¿Quién es el diseñador de Tiny Towns: Fortune?,Relaciones
¿Quién es el artista de Tiny Towns?,Relaciones
¿Cuál es el tiempo estimado de juego?,Estadísticas
¿Qué otros juegos diseñó Peter McPherson?,Relaciones
¿Cuál es la especialidad de Gong Studios?,Relaciones
¿Cómo afecta el orden de turno en la partida?,Información
¿Qué otros juegos diseñó Peter McPherson?,Relaciones
¿Qué temas se destacan en la reseña en español del juego?,Información
¿Cuántas personas quieren cambiarlo?,Estadísticas
¿Cuántas personas poseen el juego Tiny Towns?,Estadísticas
¿Cómo se colocan los recursos en el tablero?,Información
¿Cuál es el tiempo estimado de juego?,Estadísticas
¿Cuál es el precio en Noble Knight Games?,Estadísticas
¿Cuántas valoraciones tiene Tiny Towns?,Estadísticas
